"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"Lasell College",42.3427,-71.2437,"Newton",13,30000.0,30000.0,2,"www.lasell.edu/",0.5294,0.7428,0.7614,26000.0,13200.0,23100.0,41800.0,52300.0,0.874419,0.883621,0.851471,0.857997
"Lawrence University",44.2613,-88.3978,"Appleton",13,41226.0,41226.0,2,"www.lawrence.edu",0.8174,0.879,0.7269,27050.0,8400.0,16900.0,40400.0,56000.0,0.924205,0.928899,0.951282,0.956612
"Le Moyne College",43.0473,-76.0884,"Syracuse",12,30460.0,30460.0,2,"www.lemoyne.edu",0.7383,0.875,0.619,25750.0,13800.0,24200.0,49700.0,65200.0,0.864469,0.877805,0.875458,0.928155
"Lebanon Valley College",40.3317,-76.5138,"Annville",23,35700.0,35700.0,2,"www.lvc.edu",0.7311,0.8267,0.6686,27000.0,13400.0,24900.0,47000.0,62900.0,0.960894,0.951697,0.952692,0.972877
"Lee University",35.1662,-84.87,"Cleveland",13,13750.0,13750.0,2,"www.leeuniversity.edu",0.5313,0.7719,0.9165,28000.0,6400.0,14600.0,34900.0,45800.0,0.761024,0.768828,0.780978,0.811209
"Lehigh University",40.6072,-75.3789,"Bethlehem",13,43520.0,43520.0,2,"www.lehigh.edu",0.8584,0.9392,0.3084,24750.0,20100.0,38900.0,75200.0,90800.0,0.974336,0.977254,0.975054,0.977885
"LeTourneau University",32.4677,-94.7273,"Longview",13,25740.0,25740.0,2,"www.letu.edu",0.528,0.7673,0.4066,29250.0,14200.0,26600.0,55900.0,78600.0,0.811746,0.825286,0.80073,0.876543
"Lewis & Clark College",45.4505,-122.673,"Portland",11,41928.0,41928.0,2,"www.lclark.edu/",0.7451,0.8623,0.6285,22389.5,5200.0,14600.0,44800.0,61800.0,0.946939,0.9606,0.962366,0.94713
"Lewis University",41.6054,-88.079,"Romeoville",21,26780.0,26780.0,2,"www.lewisu.edu",0.6246,0.8172,0.5587,25000.0,11900.0,23500.0,54000.0,69800.0,0.863799,0.868658,0.865815,0.869303
"Liberty University",37.3503,-79.1797,"Lynchburg",13,20768.0,20768.0,2,"www.liberty.edu",0.5017,0.6851,0.2165,24750.0,7600.0,17400.0,42300.0,59900.0,0.66133,0.689354,0.777458,0.84098
"Life Pacific College",34.0894,-117.831,"San Dimas",21,12500.0,12500.0,2,"www.lifepacific.edu",0.5111,0.6279,0.7482,20600.0,6100.0,13400.0,36400.0,46600.0,0.818182,0.7897,0.855263,0.835249
"Lincoln Memorial University",36.5813,-83.6588,"Harrogate",33,19490.0,19490.0,2,"www.lmunet.edu",0.5304,0.7436,0.6995,18832.0,8600.0,18400.0,45600.0,59200.0,0.727551,0.750962,0.761805,0.785036
